A_f,B_f,C_f,D_f,E_f,F_f,G_f,customer_ID
1,1,4,3,0,1,4,10045964
1,1,3,3,1,2,2,10045965
1,1,2,3,1,0,3,10045969
1,1,2,2,1,2,2,10045970
1,1,3,3,1,1,1,10045972
1,1,3,3,1,1,3,10045973
1,1,1,2,0,2,3,10045976
2,0,3,3,0,3,3,10045980
0,0,3,2,0,0,1,10045982
1,0,3,2,0,1,2,10045984
1,0,3,3,0,2,2,10045985
0,0,1,1,0,0,1,10045990
0,0,2,3,1,0,3,10045992
1,1,2,3,0,2,3,10045993
1,1,4,3,0,2,3,10045995
1,0,4,3,1,0,1,10045996
1,1,1,1,1,2,1,10045997
1,1,2,2,1,1,1,10046001
1,1,2,2,1,2,4,10046002
1,1,3,3,1,0,2,10046003
1,1,3,3,1,2,3,10046005
1,1,4,3,1,0,2,10046008
2,1,3,3,0,3,1,10046010
1,0,3,3,0,0,4,10046012
1,1,1,1,1,2,1,10046013
1,0,2,3,0,0,2,10046014
0,0,3,3,0,2,2,10046021
2,0,2,3,0,0,2,10046022
2,1,3,3,1,0,1,10046024
0,0,1,1,0,0,2,10046027
1,1,2,2,1,1,1,10046028
1,0,4,3,1,1,3,10046030
1,0,3,3,0,2,1,10046037
1,1,1,2,1,2,1,10046039
1,0,3,3,1,2,4,10046040
1,0,2,2,0,1,2,10046041
0,0,3,3,0,0,2,10046046
1,1,1,1,1,2,2,10046047
1,0,2,2,0,1,2,10046048
1,0,4,3,1,1,2,10046049
1,0,2,3,0,2,3,10046054
2,1,4,3,1,3,4,10046057
2,1,3,3,1,0,2,10046061
1,0,3,3,0,2,3,10046062
1,1,2,2,1,2,2,10046063
1,1,3,3,1,1,4,10046068
1,0,3,3,0,0,2,10046069
2,0,3,3,1,0,2,10046070
1,0,4,3,0,1,2,10046072
1,1,2,2,1,2,2,10046074
1,1,4,3,1,0,4,10046078
2,0,4,3,1,1,3,10046079
1,1,4,3,1,0,3,10046083
1,1,3,3,1,2,3,10046086
1,1,3,3,1,1,1,10046087
1,0,2,3,0,2,3,10046091
1,0,1,1,0,2,3,10046092
1,1,3,3,1,1,1,10046093
1,1,3,3,1,1,4,10046095
0,0,1,2,0,0,1,10046099
0,1,2,3,0,2,3,10046100
1,1,1,1,1,1,2,10046104
2,0,2,2,0,1,1,10046109
1,0,3,3,1,1,3,10046111
0,0,3,2,0,1,2,10046112
1,1,1,2,1,0,2,10046114
1,0,3,3,0,2,2,10046116
1,0,3,3,1,0,2,10046117
1,1,3,3,1,1,1,10046118
1,1,3,3,1,0,2,10046121
1,0,3,3,0,2,3,10046122
1,1,3,3,1,2,3,10046127
1,1,3,3,1,1,2,10046129
2,1,2,3,1,0,2,10046130
1,1,1,2,1,2,1,10046132
1,1,1,1,1,2,1,10046136
1,1,4,3,0,2,3,10046138
2,1,2,2,1,0,2,10046139
1,1,2,2,1,1,2,10046142
1,0,4,3,1,0,1,10046151
1,0,3,3,0,2,1,10046160
0,0,1,1,0,0,2,10046163
0,0,1,3,0,0,2,10046168
1,0,1,1,0,1,2,10046169
1,0,1,2,1,0,2,10046174
2,0,1,1,0,3,2,10046179
0,1,1,1,0,0,3,10046186
1,1,1,3,1,2,3,10046188
2,1,2,3,1,3,1,10046193
1,1,2,1,1,2,1,10046199
1,1,3,3,0,2,3,10046202
1,1,1,2,0,2,1,10046209
1,1,3,3,1,1,2,10046212
2,0,1,1,0,3,3,10046213
0,0,1,3,0,0,2,10046214
1,1,2,3,0,2,1,10046220
0,0,1,2,0,0,2,10046227
2,0,1,1,0,2,1,10046228
1,1,3,3,1,2,3,10046229
1,0,4,3,1,1,3,10046232
2,1,3,3,1,2,1,10046236
1,1,2,2,1,1,2,10046242
0,0,1,1,0,0,2,10046246
1,1,3,3,1,2,3,10046252
1,1,2,2,1,2,4,10046256
1,1,2,2,0,2,4,10046258
1,1,3,3,0,0,2,10046262
1,0,1,2,1,2,2,10046265
1,1,3,3,1,1,3,10046267
0,0,3,3,0,0,2,10046272
1,1,3,3,1,1,2,10046273
1,1,3,3,0,2,2,10046274
1,1,1,3,1,1,3,10046278
1,1,2,2,1,2,1,10046279
1,1,3,3,1,1,4,10046280
2,0,1,1,0,1,4,10046281
1,0,1,2,1,2,3,10046293
1,0,1,2,1,0,2,10046294
1,1,2,3,1,2,2,10046297
1,0,4,3,0,2,3,10046300
1,1,2,3,1,2,1,10046301
1,0,1,1,0,2,2,10046304
0,1,2,2,0,0,3,10046309
1,0,1,3,0,2,2,10046312
1,1,1,2,1,2,2,10046313
0,1,1,2,0,0,2,10046315
1,1,1,1,1,2,2,10046317
1,0,3,3,1,2,2,10046320
1,0,3,3,1,1,3,10046321
2,0,3,3,1,2,4,10046322
0,0,2,2,0,0,2,10046323
1,0,1,3,1,1,3,10046327
1,1,2,3,1,2,2,10046328
2,1,3,3,0,3,2,10046330
1,1,2,3,1,2,3,10046332
1,1,4,3,0,1,3,10046334
1,1,1,1,0,2,1,10046336
1,0,3,3,0,0,2,10046340
0,0,1,2,0,0,1,10046342
1,0,3,3,0,2,3,10046347
1,0,3,3,0,2,1,10046348
0,0,2,2,0,0,2,10046349
0,0,2,2,0,0,1,10046352
1,0,3,3,1,1,4,10046357
0,0,4,3,0,2,1,10046360
1,0,3,3,0,2,3,10046363
2,1,3,2,1,0,3,10046364
1,1,3,3,1,1,2,10046370
0,0,1,1,0,0,2,10046372
1,0,3,3,0,0,2,10046375
1,1,3,3,1,2,1,10046377
1,1,1,2,1,2,2,10046378
1,1,2,3,1,2,1,10046380
0,0,1,1,0,0,2,10046383
0,0,1,3,0,0,2,10046386
2,1,3,3,1,3,1,10046388
1,0,3,3,0,0,2,10046390
1,1,2,2,1,2,4,10046391
2,0,2,2,0,1,1,10046393
2,0,4,3,1,2,3,10046395
2,1,2,3,1,3,2,10046396
1,0,3,3,0,0,2,10046400
1,1,2,2,0,2,2,10046401
2,1,3,3,1,3,2,10046404
0,0,3,3,0,3,3,10046407
0,0,1,1,0,0,2,10046410
0,0,1,1,0,0,2,10046411
0,0,2,2,0,0,3,10046416
1,1,3,3,1,2,2,10046418
1,0,1,3,1,0,1,10046419
1,0,2,3,0,2,1,10046421
1,1,3,2,1,0,2,10046432
0,0,3,3,0,2,1,10046437
2,1,3,3,1,2,3,10046438
1,0,3,3,0,0,2,10046445
2,1,1,1,0,3,1,10046446
1,0,1,3,1,1,3,10046454
1,0,1,1,0,2,2,10046457
1,1,3,3,1,1,3,10046458
2,0,4,3,0,2,4,10046461
1,1,1,2,0,2,1,10046463
0,0,1,1,0,0,2,10046467
0,0,3,3,0,0,2,10046469
1,1,2,2,1,2,3,10046472
0,0,1,2,0,0,3,10046475
0,1,3,3,0,2,3,10046477
2,1,2,3,1,2,2,10046478
1,1,3,3,1,2,4,10046485
0,1,2,3,0,0,1,10046486
0,1,2,1,0,0,2,10046488
1,1,3,3,0,1,2,10046489
1,0,3,3,0,0,2,10046493
0,0,3,2,0,0,2,10046494
0,0,2,3,0,0,2,10046497
2,1,3,3,0,1,2,10046504
1,1,3,3,1,1,2,10046505
1,0,3,3,0,2,1,10046506
0,1,2,3,1,1,2,10046514
2,0,3,3,0,2,3,10046515
1,0,4,3,0,2,3,10046519
1,0,3,3,0,0,2,10046525
0,0,2,2,0,2,2,10046531
1,0,2,3,0,1,2,10046532
1,0,1,2,0,1,1,10046534
2,1,4,3,0,2,1,10046535
1,0,4,3,1,1,1,10046538
0,0,1,1,0,0,2,10046544
1,1,1,2,1,2,1,10046545
0,0,1,1,0,0,2,10046549
1,1,3,3,1,1,4,10046551
2,0,1,3,0,0,3,10046552
2,0,2,2,1,2,3,10046554
0,0,1,1,0,0,2,10046560
1,1,2,3,1,2,2,10046561
0,0,1,1,0,0,2,10046562
0,0,1,1,0,0,2,10046568
1,1,3,3,1,2,3,10046573
2,0,1,1,0,0,1,10046574
2,0,1,2,0,3,1,10046578
2,1,1,2,1,3,2,10046580
1,0,2,2,0,2,1,10046581
0,0,2,1,0,0,1,10046582
0,1,1,1,0,0,1,10046584
2,0,1,2,0,1,2,10046587
1,1,1,3,1,2,2,10046589
1,1,2,2,0,2,1,10046590
1,1,3,3,1,2,1,10046591
2,1,1,1,0,3,1,10046596
1,0,3,2,0,2,2,10046597
1,1,3,3,1,2,3,10046603
1,0,3,3,0,1,3,10046608
0,0,1,1,0,0,2,10046610
0,0,1,2,0,3,2,10046614
1,1,2,3,0,1,1,10046615
0,1,3,3,0,0,2,10046616
1,1,1,3,1,2,1,10046619
2,1,3,3,0,3,3,10046620
2,1,3,3,1,3,2,10046625
1,1,3,3,1,1,2,10046626
1,0,3,3,0,0,1,10046628
0,0,1,1,0,0,2,10046631
1,1,3,3,0,1,2,10046632
1,1,3,3,1,2,4,10046633
1,1,3,2,1,2,2,10046635
2,1,1,1,1,1,3,10046638
1,1,3,3,1,2,3,10046639
1,0,3,3,1,2,3,10046646
1,0,3,3,0,1,3,10046649
0,1,2,2,0,1,2,10046656
2,0,3,2,1,2,2,10046659
0,0,2,2,0,0,2,10046661
1,1,3,3,0,2,3,10046662
2,0,4,3,1,2,3,10046664
1,1,3,3,1,2,1,10046667
1,0,3,3,0,1,2,10046672
1,0,3,3,0,2,1,10046677
1,1,3,3,1,1,4,10046682
1,0,3,2,1,2,2,10046683
0,0,2,3,0,0,2,10046686
1,1,2,2,1,2,1,10046687
2,0,2,3,0,2,2,10046692
1,0,3,3,0,2,4,10046695
0,0,2,2,0,0,2,10046697
1,1,4,3,0,1,2,10046708
0,0,1,1,0,0,2,10046710
2,0,3,3,1,1,2,10046713
0,0,3,3,0,0,2,10046714
1,1,3,3,1,1,2,10046720
1,0,1,1,0,2,2,10046721
1,1,2,3,0,2,1,10046722
1,0,3,3,1,1,2,10046725
1,1,3,3,1,1,1,10046727
1,1,4,3,1,1,4,10046728
1,0,3,3,0,1,4,10046737
2,1,1,2,1,3,1,10046742
1,0,1,3,0,2,3,10046743
1,1,3,2,1,0,2,10046747
1,0,2,3,1,2,3,10046750
0,0,1,2,0,0,3,10046753
0,0,3,3,0,0,1,10046754
1,1,2,2,0,1,2,10046756
0,0,1,3,0,0,2,10046758
1,1,4,3,0,2,2,10046759
1,1,3,2,1,2,3,10046761
1,1,2,2,0,1,1,10046763
0,0,1,2,0,0,1,10046765
1,1,3,3,0,2,2,10046770
2,1,1,3,1,1,3,10046780
1,1,3,3,1,0,2,10046781
0,0,3,3,0,0,2,10046783
2,0,1,1,0,2,1,10046787
1,0,3,3,0,1,3,10046788
1,0,1,3,1,2,3,10046792
1,0,3,3,1,1,4,10046793
0,0,3,3,0,1,3,10046799
1,1,3,2,1,2,2,10046800
1,0,3,3,0,2,2,10046805
1,1,1,2,1,2,3,10046806
1,0,3,3,1,1,4,10046808
1,0,3,3,0,1,1,10046811
1,0,1,1,0,1,2,10046813
2,0,3,3,0,0,2,10046817
0,1,2,3,0,0,3,10046819
1,0,3,2,1,2,3,10046822
1,1,3,3,0,2,2,10046829
1,0,3,3,1,1,2,10046830
1,0,1,3,0,2,3,10046834
1,1,2,3,0,2,1,10046836
1,0,3,2,1,0,2,10046847
1,0,3,3,0,1,2,10046848
1,0,1,1,0,2,1,10046853
1,0,1,2,0,1,1,10046855
1,1,3,3,1,2,3,10046856
1,1,3,3,1,2,2,10046859
2,0,3,3,1,2,1,10046869
1,0,3,3,0,0,2,10046872
1,1,3,3,1,2,3,10046874
2,1,1,2,1,2,3,10046877
0,0,1,1,0,1,2,10046881
0,1,1,3,1,1,3,10046884
1,1,1,3,0,1,3,10046886
2,1,3,3,1,1,4,10046889
0,0,2,2,0,2,3,10046890
2,1,2,2,1,2,3,10046893
1,1,2,2,1,1,3,10046895
1,1,4,3,1,0,3,10046897
1,0,3,3,0,2,2,10046902
2,1,3,3,1,2,3,10046903
1,0,4,3,1,2,3,10046906
0,1,1,2,0,0,1,10046907
0,0,3,3,0,1,2,10046908
1,0,2,3,1,2,4,10046910
0,0,1,3,0,0,2,10046911
1,1,3,2,1,2,3,10046912
1,1,4,3,1,1,4,10046913
1,0,1,1,0,2,2,10046916
0,0,2,3,0,0,3,10046919
1,1,3,3,1,1,4,10046920
2,0,3,3,0,3,3,10046922
1,0,1,3,1,2,3,10046924
1,1,1,2,1,2,2,10046928
1,0,1,1,0,2,2,10046930
1,1,2,3,1,2,2,10046931
1,1,3,3,0,2,2,10046934
2,1,4,3,1,3,1,10046940
1,1,3,3,0,0,3,10046942
1,1,3,3,1,1,2,10046944
0,0,1,1,0,0,2,10046947
0,1,1,2,0,0,2,10046953
1,1,3,3,0,2,2,10046955
1,1,3,3,1,1,1,10046958
0,0,3,3,0,0,2,10046961
1,0,2,3,0,2,3,10046964
1,1,3,3,1,2,2,10046966
2,0,3,3,0,2,1,10046969
1,1,1,1,0,2,2,10046971
1,1,1,2,0,2,3,10046974
1,0,3,3,0,2,2,10046975
0,0,1,1,0,0,2,10046976
2,0,2,2,0,2,1,10046981
1,0,2,2,0,2,3,10046982
1,0,4,3,1,1,2,10046985
0,0,2,2,0,0,2,10046986
1,0,4,3,1,0,1,10046989
1,1,2,2,0,1,2,10046991
1,0,1,2,0,2,3,10046993
1,1,2,3,1,2,4,10046995
0,0,2,2,0,0,2,10046996
1,1,2,3,1,2,1,10046998
2,1,1,1,0,0,3,10046999
2,0,1,1,0,3,3,10047002
0,0,2,1,1,1,2,10047005
1,1,3,3,0,2,2,10047008
1,0,1,1,1,2,3,10047009
1,1,3,3,0,2,1,10047010
0,0,1,2,0,0,3,10047014
1,0,3,3,0,2,2,10047017
1,0,3,3,0,2,1,10047018
0,0,1,3,0,0,2,10047022
2,0,1,3,0,2,1,10047023
1,1,3,3,1,1,3,10047024
1,1,3,3,1,1,2,10047030
1,0,3,3,0,1,2,10047034
0,1,2,3,0,0,2,10047040
1,1,3,3,1,1,3,10047041
1,0,3,3,1,1,3,10047045
1,0,3,3,1,1,2,10047046
1,1,4,3,1,1,3,10047051
1,0,4,3,0,2,2,10047052
1,0,3,2,0,1,1,10047057
2,1,1,3,1,1,3,10047058
1,0,3,3,1,0,4,10047059
1,1,1,1,1,2,3,10047061
0,0,4,3,0,0,1,10047062
0,0,1,1,0,0,1,10047064
1,1,3,3,1,2,3,10047066
1,1,2,2,1,2,2,10047070
1,0,1,3,0,0,1,10047072
1,0,3,3,0,2,3,10047078
0,0,1,1,0,0,4,10047082
1,0,1,3,1,1,4,10047085
2,0,3,3,1,2,4,10047087
0,0,1,2,0,0,3,10047089
0,1,3,3,0,0,2,10047092
1,1,4,3,0,2,1,10047095
1,0,3,3,0,2,1,10047097
1,1,4,3,1,1,3,10047100
1,1,1,1,1,2,2,10047103
0,0,1,2,0,0,1,10047110
1,0,1,2,0,2,3,10047111
1,0,1,1,0,2,2,10047113
1,1,1,3,0,2,3,10047116
1,0,2,3,0,2,3,10047122
2,0,2,2,0,2,2,10047128
1,1,4,3,0,2,4,10047135
1,0,2,2,0,1,1,10047138
1,0,3,3,1,1,2,10047141
1,0,3,3,0,0,2,10047142
1,0,1,2,0,2,3,10047143
0,0,1,3,0,0,4,10047145
1,0,1,2,1,2,2,10047147
0,0,3,3,0,0,2,10047150
1,1,3,3,1,2,2,10047154
1,0,3,3,0,2,1,10047155
1,0,3,3,0,0,1,10047156
1,1,2,2,0,1,1,10047157
2,0,1,1,0,2,2,10047158
1,1,1,2,1,2,1,10047159
1,1,3,3,1,2,3,10047161
1,1,3,3,1,1,2,10047162
1,0,3,3,0,0,1,10047163
1,1,1,1,1,1,1,10047165
1,0,3,3,1,2,2,10047168
1,1,2,3,1,2,1,10047175
1,0,3,3,0,0,1,10047179
2,0,1,3,1,0,2,10047184
2,0,3,3,0,1,4,10047188
1,1,3,2,0,2,3,10047190
1,1,1,1,1,2,1,10047192
0,0,1,1,0,0,3,10047195
1,1,3,3,0,1,3,10047200
1,0,3,3,0,1,2,10047205
1,0,3,3,1,1,3,10047206
1,1,2,3,1,2,2,10047212
1,0,3,2,1,2,4,10047214
1,0,3,2,0,0,2,10047222
0,0,3,3,0,0,2,10047225
1,0,3,3,0,1,2,10047228
1,0,3,3,1,0,2,10047229
1,0,3,3,0,0,3,10047230
0,0,3,3,0,0,2,10047234
1,1,3,3,1,1,2,10047237
1,0,1,2,1,1,3,10047238
0,0,1,1,0,0,1,10047239
1,1,2,1,1,1,4,10047243
1,1,4,3,1,1,2,10047244
1,0,2,3,0,0,3,10047247
1,1,1,1,1,2,1,10047248
1,1,1,3,1,2,3,10047254
0,0,1,2,0,2,2,10047256
0,0,2,2,0,0,1,10047260
2,0,2,2,1,2,1,10047263
1,0,3,3,0,0,3,10047266
1,0,3,3,1,0,2,10047272
0,0,1,1,0,0,2,10047275
1,0,3,3,0,2,3,10047279
1,1,2,2,1,2,2,10047281
1,1,2,2,1,2,3,10047282
0,0,1,2,0,0,2,10047288
1,1,2,1,1,1,1,10047289
1,0,3,2,1,0,2,10047291
1,1,1,3,1,1,2,10047294
2,1,3,3,1,1,3,10047295
1,1,2,2,1,2,2,10047297
1,1,1,1,1,2,2,10047299
0,0,1,1,0,0,2,10047300
2,1,1,1,0,3,2,10047303
0,0,1,1,0,0,2,10047307
1,0,2,2,0,1,4,10047309
2,1,3,3,1,1,3,10047310
1,1,2,3,1,2,3,10047313
1,0,2,2,0,1,2,10047318
0,0,1,1,0,0,2,10047319
1,0,1,3,1,2,3,10047320
1,0,4,3,1,0,4,10047322
1,1,3,3,0,1,2,10047323
1,0,1,2,0,2,1,10047324
1,0,2,2,0,2,1,10047329
1,1,1,1,1,2,3,10047331
1,0,4,3,0,1,1,10047333
2,0,2,3,0,3,2,10047334
1,1,3,3,1,2,1,10047335
1,1,3,3,1,2,1,10047336
1,1,3,3,1,2,2,10047337
1,1,3,3,1,1,3,10047342
1,0,2,2,0,0,3,10047343
1,0,3,3,0,0,2,10047345
1,1,1,3,1,2,4,10047348
1,0,3,3,0,2,3,10047350
2,0,2,3,1,2,3,10047352
1,1,3,3,1,1,3,10047354
1,0,3,3,0,2,3,10047355
1,1,3,3,1,1,2,10047357
1,0,3,3,1,1,2,10047359
1,0,2,3,0,1,3,10047362
1,1,3,2,1,0,2,10047365
1,1,2,2,1,1,2,10047366
1,1,3,3,1,0,2,10047371
1,1,4,3,1,1,4,10047378
0,0,2,3,0,0,2,10047380
1,1,3,3,1,0,2,10047382
0,0,1,1,0,0,2,10047384
1,1,3,3,0,2,1,10047395
1,0,3,3,0,2,2,10047396
1,1,3,3,1,1,2,10047398
1,1,1,1,1,2,1,10047399
0,0,1,2,0,0,3,10047400
1,0,1,1,1,2,3,10047407
1,1,4,3,1,0,2,10047411
1,1,1,2,1,2,1,10047415
0,0,3,2,0,0,2,10047419
1,0,1,1,1,2,1,10047423
1,1,1,3,1,2,3,10047425
1,1,2,2,0,1,2,10047426
1,1,3,3,0,1,2,10047428
1,0,3,3,1,0,2,10047430
1,1,1,3,1,2,2,10047431
0,0,1,1,0,0,2,10047432
1,0,1,1,0,2,3,10047433
2,0,3,3,0,0,2,10047437
1,1,3,3,1,2,2,10047438
1,1,3,2,0,0,2,10047440
0,1,1,1,0,0,1,10047441
0,0,3,3,0,0,2,10047444
1,1,3,2,1,2,2,10047447
2,0,2,2,0,2,2,10047451
1,1,1,3,0,1,2,10047452
1,1,3,3,1,1,3,10047455
2,1,1,1,1,2,2,10047456
1,1,3,3,1,1,3,10047457
1,0,1,1,0,2,4,10047461
2,1,4,2,0,0,2,10047465
0,1,2,2,0,1,3,10047466
1,0,3,3,1,1,2,10047467
2,1,4,3,0,2,2,10047469
1,0,1,2,0,2,1,10047472
1,0,4,3,1,0,1,10047480
1,1,2,3,1,2,1,10047481
1,0,3,2,1,0,3,10047484
2,0,1,1,0,3,2,10047487
1,0,1,2,0,2,2,10047489
1,0,2,2,1,1,2,10047490
1,0,2,3,0,0,2,10047492
2,0,1,2,1,1,3,10047497
1,0,3,3,0,1,1,10047498
2,1,1,3,1,2,3,10047499
2,0,4,3,1,3,3,10047500
2,0,1,2,0,3,2,10047501
1,1,1,3,0,2,1,10047502
1,0,1,1,1,2,1,10047506
1,0,2,3,0,2,3,10047507
1,0,4,3,1,2,3,10047509
0,0,1,2,0,0,2,10047511
0,0,1,3,0,0,1,10047512
1,0,1,2,0,2,3,10047513
1,1,3,3,1,2,1,10047517
2,1,1,3,1,2,3,10047519
0,0,3,3,0,0,2,10047521
2,0,3,3,0,2,4,10047524
1,0,1,1,0,1,2,10047525
1,0,1,1,0,2,2,10047531
1,1,3,3,1,0,2,10047532
1,1,3,3,1,1,3,10047533
1,1,4,3,1,1,2,10047539
1,0,4,3,0,2,2,10047543
1,0,3,3,1,2,1,10047545
1,1,1,1,1,2,1,10047546
2,0,3,3,1,1,3,10047549
2,1,3,3,1,2,2,10047554
0,0,1,3,0,0,2,10047556
0,0,3,3,0,0,2,10047559
2,0,1,1,0,3,1,10047560
1,1,2,3,0,1,3,10047564
2,1,1,2,1,3,2,10047565
1,0,1,1,1,2,1,10047567
1,0,3,2,1,2,4,10047571
0,1,4,3,0,0,2,10047574
0,0,3,2,0,0,1,10047577
1,1,1,3,1,2,3,10047579
2,0,1,1,0,3,4,10047592
1,1,1,1,0,1,2,10047594
1,0,1,3,1,2,3,10047597
1,0,3,3,0,1,4,10047598
2,0,1,1,0,3,2,10047599
1,1,4,3,1,0,2,10047606
2,1,2,2,0,1,2,10047607
1,1,1,1,1,2,3,10047608
1,0,3,3,1,2,3,10047611
0,0,1,1,0,3,3,10047615
0,0,3,3,0,2,3,10047616
0,1,1,1,0,0,1,10047617
1,1,3,3,1,2,3,10047619
1,1,3,3,1,1,3,10047621
0,1,1,2,0,1,1,10047622
1,0,1,2,0,2,2,10047623
1,1,4,3,0,1,3,10047626
0,0,1,3,0,0,2,10047628
1,0,3,3,1,1,4,10047631
1,0,1,3,0,2,3,10047632
1,1,3,3,1,1,2,10047633
2,0,4,3,0,3,1,10047635
1,1,3,2,1,2,1,10047638
1,1,1,3,1,2,1,10047640
0,0,1,1,0,0,2,10047649
1,0,3,2,1,2,2,10047650
1,1,3,3,0,1,1,10047651
1,0,4,3,1,2,4,10047652
1,1,3,3,1,0,2,10047653
2,1,1,3,1,3,3,10047655
1,0,1,2,0,2,2,10047657
2,0,3,3,1,0,2,10047659
1,0,3,2,0,2,3,10047660
2,0,1,1,0,3,2,10047661
0,1,3,3,0,0,1,10047663
0,0,2,3,0,0,1,10047669
2,1,3,3,1,1,1,10047673
0,0,3,3,0,0,3,10047674
1,1,3,3,1,1,2,10047678
0,0,3,3,0,0,1,10047679
1,0,2,2,1,2,2,10047683
1,1,4,3,1,0,2,10047684
1,0,2,2,1,2,2,10047687
1,1,3,3,1,2,4,10047688
1,1,3,2,1,2,3,10047690
2,0,2,2,0,3,2,10047692
1,0,3,2,0,2,3,10047696
1,0,2,3,0,2,1,10047697
2,1,2,2,1,2,2,10047701
1,0,3,3,0,1,1,10047704
1,1,3,3,1,2,3,10047705
1,1,2,3,1,1,3,10047706
2,0,4,3,0,0,1,10047707
1,0,1,2,0,2,2,10047708
1,1,3,3,0,0,2,10047710
1,1,2,3,1,0,2,10047711
0,1,2,3,0,0,3,10047712
2,1,3,3,1,0,1,10047717
1,0,3,3,0,1,4,10047720
1,1,1,1,1,2,2,10047721
1,1,4,3,1,2,1,10047728
1,0,1,1,0,2,4,10047732
0,0,2,2,0,0,4,10047733
1,0,1,2,0,0,1,10047738
1,1,4,3,1,2,3,10047739
1,1,1,1,1,2,4,10047740
0,0,2,3,0,0,3,10047741
1,0,3,3,1,1,4,10047746
0,1,2,2,0,0,2,10047748
1,0,2,2,0,2,3,10047749
0,1,1,1,0,0,2,10047754
1,1,3,3,0,2,3,10047757
1,1,3,3,1,1,1,10047760
1,1,3,3,1,1,2,10047761
2,0,3,3,0,0,2,10047766
0,1,1,1,0,0,3,10047767
0,0,3,3,0,0,2,10047768
0,1,3,3,0,1,2,10047777
1,0,3,3,1,0,1,10047779
1,0,2,2,1,0,1,10047781
1,1,3,3,1,2,3,10047788
1,1,3,3,1,1,4,10047789
1,1,3,2,1,0,2,10047792
1,1,4,1,0,2,2,10047794
1,0,2,2,0,0,4,10047801
1,0,3,3,0,1,3,10047802
0,1,1,1,0,0,2,10047803
1,1,2,2,0,1,2,10047804
2,0,2,2,1,0,2,10047807
1,0,3,3,0,1,2,10047811
1,1,3,3,1,2,3,10047813
1,0,1,1,0,1,4,10047818
1,0,1,2,0,0,3,10047820
1,1,3,3,1,2,3,10047825
1,1,3,3,1,2,2,10047827
1,1,3,3,1,2,3,10047829
1,0,2,2,0,2,1,10047833
0,0,1,1,0,0,1,10047835
0,0,1,1,0,0,1,10047837
1,1,2,2,1,1,3,10047839
1,1,3,3,1,1,1,10047841
1,1,1,1,1,2,3,10047842
1,1,3,3,1,2,1,10047843
0,1,2,2,1,1,2,10047846
1,0,4,3,0,0,4,10047850
1,1,3,3,1,1,3,10047854
0,0,1,1,0,0,2,10047855
1,0,3,3,0,1,4,10047857
1,1,3,3,1,0,2,10047858
1,0,3,3,0,2,3,10047860
0,0,3,3,0,0,2,10047864
1,0,3,3,0,2,2,10047865
1,1,3,3,1,2,3,10047866
1,0,3,2,0,2,2,10047870
0,1,1,3,0,0,2,10047871
1,1,1,1,0,2,2,10047873
0,0,4,3,0,2,2,10047874
0,0,2,3,0,0,2,10047876
1,1,3,3,0,1,2,10047881
1,1,2,3,1,1,1,10047892
1,1,3,3,1,1,1,10047893
0,0,3,3,0,0,3,10047895
1,1,2,3,1,2,1,10047896
0,0,1,3,0,0,2,10047898
0,0,1,2,0,0,2,10047901
2,1,4,2,1,2,1,10047904
1,0,3,3,0,1,4,10047905
1,0,3,3,1,2,1,10047908
1,0,3,3,0,1,2,10047910
0,0,3,3,0,0,1,10047912
1,1,2,3,1,2,2,10047918
1,0,4,3,0,0,2,10047920
1,1,2,2,1,2,2,10047921
2,1,4,3,1,0,1,10047922
1,0,3,1,0,2,3,10047924
1,1,4,3,1,2,2,10047926
1,0,4,3,0,1,3,10047928
1,0,3,3,0,0,2,10047936
1,1,3,3,1,0,3,10047939
1,1,3,2,1,2,2,10047941
1,0,3,3,0,2,3,10047946
1,1,3,3,1,0,2,10047947
1,0,4,3,0,2,2,10047949
1,1,1,1,0,2,2,10047950
2,0,2,2,1,3,4,10047958
1,0,3,3,0,2,2,10047960
1,0,4,3,1,1,4,10047962
1,1,1,3,1,0,2,10047965
1,0,3,3,1,2,1,10047967
1,0,3,3,0,2,2,10047968
2,1,3,3,1,2,2,10047969
1,0,2,3,1,2,3,10047971
0,1,3,3,0,0,3,10047973
2,1,4,3,1,3,2,10047974
1,1,2,2,0,2,3,10047978
1,1,3,3,1,0,2,10047979
1,1,1,2,1,1,2,10047983
1,0,3,3,0,2,1,10047985
1,0,3,3,0,2,1,10047988
1,0,3,3,0,1,2,10047992
0,0,1,2,0,0,2,10047995
1,1,3,3,1,2,1,10047999
1,1,2,2,0,2,1,10048000
1,1,2,3,1,2,4,10048002
1,1,1,3,1,2,3,10048003
1,1,3,3,1,1,3,10048004
1,0,3,3,0,2,2,10048006
2,0,3,3,0,0,4,10048007
1,1,3,3,1,2,2,10048010
0,0,1,2,0,0,2,10048011
1,0,1,3,1,0,1,10048012
0,0,3,2,0,0,3,10048016
1,1,3,3,1,2,3,10048018
1,1,1,1,0,2,3,10048022
0,0,1,1,0,0,2,10048023
1,0,3,3,0,2,3,10048024
2,0,2,2,0,0,2,10048030
0,1,1,3,0,0,3,10048035
1,0,1,1,0,2,2,10048038
1,1,2,2,1,1,1,10048039
0,1,2,3,1,2,2,10048041
1,0,3,3,1,2,1,10048043
1,0,4,3,0,2,4,10048044
2,1,2,3,1,2,3,10048045
1,0,3,3,0,2,1,10048046
2,1,2,3,1,1,3,10048047
